FEATURE,soilid,X,Y,SLP,WETM,TANCURV,PROCRV,PLNCRV,CRV,MAXCRV,MINCRV
Dixfield,3,289194.2132,4977033.518,22,3.5,-0.0194,-0.07073,-0.09015,0.16088,0.13028,0.02363
Dixfield,3,289271.1877,4977019.267,18.9,3.3,-0.01055,-0.05214,-0.05673,0.10887,0.07458,0.03062
Dixfield,3,289313.495,4977014.584,15.6,3.8,0.00021,-0.08723,0.00135,0.08588,0.08378,-0.00097
Dixfield,3,289248.5315,4976838.259,,3,-0.01116,-0.10573,-0.08656,0.19229,0.17034,0.0186
Dixfield,3,289230.8202,4976831.422,14.4,3.2,-0.01555,-0.09936,-0.10885,0.20821,0.16489,0.03918
Dixfield,3,289213.8615,4976818.045,16,3.4,-0.03807,-0.08265,-0.24118,0.32383,0.23757,0.08017
Dixfield,3,287762.5501,4976847.58,,5.8,0.0469,-0.01181,0.14843,-0.13662,0.04002,-0.17076
Dixfield,3,287918.9016,4976990.991,26.4,4.8,0.01176,-0.09324,0.04599,0.04725,0.15543,-0.11565
Dixfield,3,288088.1943,4977434.164,,3.8,-0.05592,0.32819,-0.16098,-0.16721,0.13979,-0.25946
Dixfield,3,288244.546,4977577.574,43.3,3.8,0.0544,0.54302,0.13686,-0.67988,-0.05674,-0.48843
Dixfield,3,288400.8977,4977720.984,22.7,4.4,-0.0024,0.11127,-0.01084,-0.10043,0.01503,-0.10767
Dixfield,3,288700.6586,4977708.041,18.5,4.8,-0.00485,-0.02533,-0.02669,0.05202,0.0268,0.02352
Dixfield,3,289156.7699,4977838.508,19.7,4,0.01168,-0.09118,0.06036,0.03083,0.09914,-0.07225
Dixfield,3,288263.9594,4978027.216,,2.9,-0.09602,0.00842,-0.24583,0.23741,0.2251,-0.00537
Dixfield,3,288889.3677,4978600.851,15.6,3.6,-0.01698,-0.06351,-0.11035,0.17387,0.10881,0.0615
Dixfield,3,289039.2477,4978594.379,,2.7,-0.0245,-0.11826,-0.40608,0.52434,0.43746,0.0855
Dixfield,3,289189.1276,4978587.907,16.8,2,-0.01709,0.03479,-0.10336,0.06857,0.10021,-0.03165
