Northing,Easting,LS_Pos,Measured,SSURGO_RV,ArcSIE_SSU,SS_Manual,SDM,OSD,twi_5m,slope_5m,mrvbf_5m,mrrtf_5m,aachn_5m,elev_5m,twi_10m,slope_10m,mrvbf_10m,mrrtf_10m,aachn_10m,elev10m,twi_30m,slope_30m,mrvbf_30m,mrrtf_30m,aachn_30m,elev_30m,twi_90m,slope_90m,mrvbf_90m,mrrtf_90m,aachn_90m,elev_90m,Pred_Depth_5m_MLR,Pred_Depth_90m_MLR,Pred_Depth_5m_DT,Pred_Depth_90m_DT,Pred_Depth_5m_RF
4262047.97,528551.136,FP,120,201,174.829453,200,200,200,17.3269997,0.02,3.9705,0.0554,0,172.257996,15.4323997,3.48068,2.4307001,0.0488,0,172.251007,15.9273996,3.3449399,1.9342999,0.0302,0,172.544006,12.8863001,6.2280002,0.9838,0.0047,0,173.884995,152.284697,129.0715644,136.375,140.5384615,133.7266667
4260581.47,527693.707,FP,160,201,168.583603,200,200,200,17.8747005,1.4601001,3.9853001,0.0258,0,158.166,15.9390001,0.971973,2.9874001,0.034,0,158.132996,17.4899998,0.720565,4.3375001,0.0076,0,158.272995,18.3806,0.75745,6.9383998,0.0055,0,158.276993,148.7098899,167.8553426,136.375,179.3846154,155.6306667
4261195.54,527174.027,FP,130,137,169.276688,200,200,200,14.9230003,2.7507,3.9949999,0.0682,0,169.091003,12.9806995,2.2953899,2.9790001,0.1037,0,169.046997,14.4394999,4.5321202,2.9154999,0.0144,0,169.005997,15.7656002,2.55195,0.9803,0.0021,0,168.669006,146.2132857,136.6523505,136.375,140.5384615,135.7858333
4258081.5,524264.446,FP,200,201,196.577698,200,200,200,11.2882996,0.87,0.052,2.8336999,0.1553,150.095993,12.9624996,0.88003,0.3777,2.8227999,0.1716,150.115997,15.191,2.4038799,2.7932999,1.9252,0.315,150.210007,16.1779003,2.9962699,6.9642,0.2923,0.3542,150.009995,178.6226747,165.8104109,200,179.3846154,193.9516667
4257298.16,522076.194,FP,200,201,175.207245,200,200,200,20.2029991,0.49,2.9862001,0.565,0.035,147.660004,13.1175003,0.647551,2.8492999,0.0265,0.0473,147.662003,12.8348999,4.7400498,3.7993,0.0047,0,147.606995,14.3746996,2.75828,6.973,0.1459,0.1772,147.826996,156.3924381,165.080039,200,179.3846154,192.5211667
4258923.41,523702.495,FP,125,201,158.210037,200,200,200,12.7742996,4.9840999,3.5644,0.1118,0,155.251999,13.1983004,4.3983498,2.6156001,0.4155,0,155.153,13.9924002,4.4514799,2.7851,0.1769,0.1079,155.707001,14.8178997,4.2218499,5.8834,0.0157,1.3368,155.707001,141.5874437,155.901441,136.375,179.3846154,149.6915
4258813.53,525329.056,FP,200,201,180.042206,200,200,200,18.5338993,0.82,3.9365001,0.033,0.0014,151.201004,14.3523998,0.511128,2.9583001,0.147,0,151.182007,15.9772997,0.252113,4.4510999,0.2702,0,151.143005,16.7029991,0.847299,6.9833999,0.0155,0,151.145996,150.2356267,167.9628196,200,179.3846154,186.8075
4258208.9,525304.009,FP,200,74,193.936752,119,112,126,7.4418998,3.4312999,3.8685,2.9461999,1.1422,152.457993,8.1928997,3.7242801,3.9732001,1.961,1.1022,152.429001,12.3852997,3.28232,2.9863,1.8571,1.4766999,152.822998,15.2880001,1.27301,6.7217999,0.1821,1.3769,152.822998,172.4804398,167.3136635,200,179.3846154,187.8603333
4258339.73,526434.575,FP,200,201,182.809631,200,200,200,20.4867001,0.02,5.9366002,0.1625,0,153.164002,15.6982002,0.218604,4.8235002,2.5346,0.0568,153.175995,16.2619991,0.0637948,7.8143001,1.8513,0.1716,153.218002,15.7896996,1.2890199,6.9805002,0.1761,0.0278,153.154999,153.3833895,168.420726,200,179.3846154,189.0731667
4258363.55,526654.18,FP,200,201,190.77121,200,200,200,7.5468001,2.9509001,0.0926,2.8622,0.3269,153.957993,10.4373999,3.6665299,0.3337,2.4679,0.3745,154.039002,13.3627005,3.7667,2.9662001,1.8515,0.9053,154.621994,15.4997997,3.58724,6.9211001,0.158,0.8483,154.281006,173.9312697,163.2271887,200,179.3846154,184.9063333
4258260.36,527014.014,FP,200,201,194.292602,200,200,200,10.2428999,0.83,3.8958001,1.6493,0.0508,154.085007,13.7886,0.590573,2.9353001,1.8458,0.1225,154.113007,16.7007008,1.25907,1.779,0.6955,0.1304,154.158005,14.4953003,10.2926998,0.8141,0.0773,0.1741,154.085007,166.7198311,120.4916085,200,140.5384615,194.333
4259706.16,525210.537,FP,125,137,170.181839,200,200,200,15.6212997,1.7402,2.9826,0.021,0,161.240997,15.6241999,1.93811,2.9215,0.0475,0,161.242996,14.8176003,6.7611499,1.7454,0.0105,0,161.393005,12.7966995,7.2583699,0.9299,0.0046,2.0097001,165.298004,148.0244084,126.6866847,136.375,112.6923077,127.9901667
4259953.55,525041.203,FP,90,86,167.438828,71,80,76,15.9068003,2.0102999,1.9608001,0.004,0,168.376007,14.7376003,12.3734999,0.8147,0.0025,0,168.457001,14.6527004,15.6805,0.3054,0.0001,0,168.457001,14.6787004,3.16576,1.7981,0.0103,1.9535,167.957001,147.2364872,139.2192312,136.375,112.6923077,111.0093333
4259948.09,527225.773,FP,200,201,184.364822,200,200,200,18.0123005,0.98,3.9631,0.3525,0,154.811997,17.0279999,0.42033,2.9879999,0.1915,0,154.794006,18.2341995,0.496231,2.4956,0.0112,0,154.800995,17.7483997,3.3919001,6.7145,0.0038,0,154.677994,153.1518997,161.3485246,200,179.3846154,190.676
4256835,526239,FP,160,74,149.085693,71,80,76,11.6159,6.1476998,2.8151,0.0337,0,196.434998,12.0858002,6.1068201,1.8935,0.0333,0,196.537994,12.7103996,6.1859899,1.3983001,0.0115,11.1302996,196,12.3142004,7.9128599,0.3598,0.4654,25.6753998,200.406006,138.1431598,126.6823057,136.375,121.95,150.7941667
4256778,526145,FP,114,137,165.793991,127,109,95,8.7658997,7.5644002,2.7808001,3.395,3.4602001,202.319,9.7537003,6.82967,1.8243001,0.0498,7.0219002,202.369995,11.5171003,6.09305,1.5928,0.0145,16.6571999,201.772003,11.6849003,1.4482501,6.5639,1.4444,28.9102993,203.714005,164.2238462,177.123164,136.375,179.3846154,141.0223333
4260568.2,530900.594,FP,110,201,169.02533,200,200,200,15.9835997,1.9002,3.892,0.0122,0,184.128006,16.3052998,1.8954,2.9198999,0.0154,0,184.203995,16.5265999,1.43621,1.5855,0.0036,0,183.985992,16.5772991,1.85695,0.9914,0.0024,0,183.985992,147.5706968,138.146618,136.375,140.5384615,124.3478333
4260499.41,530868.844,FP,150,201,169.921997,200,200,200,16.2357006,1.7802,3.1452,0.0172,0,182.917007,16.3449993,2.08377,2.7616999,0.026,0,182.876999,16.7010002,3.12641,1.9327,0.0074,0,182.876999,11.8246002,10.0641003,0.8684,0.0041,0.448,184.910996,147.8945668,120.5835333,136.375,140.5384615,141.6236667
4257093.18,526404.248,RT,105,81,197.379578,201,178,152,7.2056999,4.4329,0.0316,3.7183001,11.9456997,196.098007,8.1246996,4.0106802,0.1691,2.6003001,13.1637001,196.154007,10.0174999,2.1240399,0.0188,1.9692,18.8229008,196.595993,11.6243,7.1370902,1.3992,0.6098,19.7805004,196.283005,161.9421655,134.326603,136.375,121.95,131.9955
4257037.61,526699.259,RT,100,81,200.171661,201,178,152,7.704,2.7207,0.0373,3.8598001,10.9596996,198.662994,8.4216995,2.8938401,0.1705,2.8069999,12.9491997,198.692993,9.9489002,3.8713601,0.0671,1.9512,21.9116001,198.292999,11.4186001,8.2992001,0.2144,0.7177,22.0916996,197.498001,168.7600177,127.3902312,136.375,121.95,125.5621667
4256551.38,530105.658,RT,200,64,200.8311,229,229,229,7.5283999,1,0.0104,3.9886999,11.4406004,212.557999,8.4870996,1.95408,0.0967,2.9837999,12.5910997,212.539002,10.2821999,2.6837699,0.0231,1.9865,22.5517006,212.335999,11.4246998,8.0899801,0.0249,0.9517,30.8313007,209.807999,173.270478,128.9713443,195.5833333,167.0769231,191.6263333
4256101.61,530066.07,RT,130,64,186.359726,229,229,229,7.9642,6.6999998,0.0982,3.9130001,23.5596008,211.973007,8.6620998,6.2227702,0.444,1.4923,23.6819992,211.882004,10.0113001,5.49649,0.0996,1.8723,24.1993999,211.442001,11.6004,6.51861,0.0487,0.9035,34.9604988,212.710999,141.3920464,131.9217772,176.6666667,121.95,148.7756667
4256729.21,530533.854,RT,185,64,198.460403,229,229,229,7.5043001,3.7618001,0.0929,3.9861,12.2607002,212.184998,8.3816004,3.7260201,0.4356,2.8848,13.6310997,212.106003,9.8831997,5.2649202,0.0714,1.974,18.7702007,211.675003,11.3164997,9.23528,0.0334,0.9506,23.6221008,209.610992,165.7419208,126.6271443,195.5833333,167.0769231,181.721
4257528.25,530700.542,RT,136,64,200.429794,229,229,229,7.8610001,2.6905999,0.0711,5.3727999,4.6602998,220.837006,9.0781002,3.6496899,0.7625,2.8406999,8.2870998,220.742996,10.7444,3.6075101,0.567,2.6821001,11.8532,220.210999,12.1322002,3.1739399,6.6402001,3.944,27.1648006,220.225998,193.7861938,195.4826266,174.6,179.3846154,166.8543333
4257959.14,532838.867,RT,200,64,200.92363,229,229,229,8.0162001,0.39,0.0093,3.4012001,8.1351995,250.296005,8.9306002,0.62342,0.0474,2.9574001,10.467,250.274994,10.5232,2.0148699,0.0363,2.6963,18.5639,250.253006,13.8725004,2.8771801,0.0033,5.4829998,52.8492012,250.408005,173.5807129,178.8054146,176.6666667,167.0769231,181.2111667
4258451.61,531040.75,RT,200,64,200.601395,229,229,229,7.0046,1.8102,0.0066,3.9473,16.3250008,221.996994,7.9761,2.7188399,0.0471,2.9507,21.2936001,221.919006,10.9302998,1.3499399,0.0315,1.9809,28.3722,222.044998,13.0228004,1.776,0.0406,1.5809,38.4793015,219.660004,163.688519,147.5640153,195.5833333,167.0769231,190.4591667
4257451.71,529124.245,RT,180,76,199.473328,229,229,229,7.7245998,3.6015999,0.0873,4.9003,10.0815001,213.287003,8.5172005,3.26613,0.3178,2.951,13.9196997,213.393005,10.0983,3.10744,0.0559,3.652,28.8355999,213.419006,12.1126003,3.13534,6.783,2.9517,44.9157982,211.572006,178.7486677,187.6518559,195.5833333,179.3846154,182.6318333
4259301.12,527898.397,RT,200,64,200.196777,229,229,229,8.8023996,2.4505,0.1215,5.4447999,9.3283005,200.796005,9.5993996,2.08778,1.5556999,4.6975999,12.5396004,200.815002,10.8135004,1.9771,4.8894,3.9616001,23.0685997,200.815002,12.8099003,1.90387,6.9570999,2.9617,39.5486984,201.296005,188.0774569,191.092912,195.5833333,179.3846154,186.9373333
4259290.54,528020.106,RT,200,76,200.798782,229,229,229,8.1384001,1.2701,0.0772,5.0279002,13.5513,202.585999,9.0186996,1.10833,0.3192,3.9902,16.6991997,202.608002,10.7735004,1.09387,4.8077002,3.9419,25.6527004,202.511002,12.9307003,0.805233,6.9531999,2.9498,39.9174995,202.511002,180.155798,193.2493313,195.5833333,179.3846154,192.1658333
4259709.9,528502.178,RT,200,76,200.835129,229,229,229,8.9366999,0.99,0.0373,5.8102002,10.0072002,212.128998,9.6813002,1.00132,0.2314,3.9760001,13.2519999,212.167999,10.7995996,1.3249,0.1045,3.8083,26.9328003,212.031006,12.4705,2.04862,6.8927999,2.9784999,43.1365013,211.276993,194.1264298,190.6416736,195.5833333,179.3846154,197.0855
4260236.42,529033.462,RT,177,64,188.120865,229,229,229,8.9403,3.6415999,0.3118,5.9050002,1.6282001,208.778,9.8086004,3.18203,2.0156,0.6304,2.7447,208.848007,11.4708996,2.8083999,1.5531,3.3183999,8.6913004,208.975998,13.5707998,2.8691199,6.8463998,2.9797001,35.8748016,208.667007,201.6277627,188.7375782,174.6,179.3846154,170.1278333
4260740.18,530129.279,RT,200,64,199.952271,229,229,229,8.9287004,2.7907,0.0968,5.3758998,8.7566004,227.867004,9.3765001,2.7458301,0.4476,2.8721001,14.0383997,227.904007,10.4210997,3.03335,0.0877,3.5555,33.7349014,228.104004,12.2581997,4.7186999,6.3376999,4.0984998,46.0400009,228.179993,187.4542996,192.2210612,195.5833333,179.3846154,190.5881667
4261592.83,531439.741,RT,200,64,199.434998,229,229,229,7.4449,3.3913,0.028,6.0012002,8.3023996,246.615006,8.1212997,4.3410702,0.1907,2.7493,11.9302998,246.516007,9.7835999,5.2738299,0.0344,3.7918,24.5125999,245.891007,11.5834999,2.4595201,0.0173,5.4789,52.2184982,244.179993,193.1851362,179.7002076,174.6,167.0769231,192.8738333
4261467.33,531031.984,RT,155,64,195.829498,229,229,229,8.8458004,3.2211001,0.2651,3.7948,4.1894999,238.257996,9.6061001,2.8345699,1.5775,2.8740001,8.0255003,238.363007,11.0417995,2.3392701,0.4653,2.6515,28.7476006,238.365997,12.9445,1.80942,0.2021,4.5946002,47.4569016,238.845001,177.0984234,174.2630383,176.6666667,167.0769231,166.5498333
4261620.79,531389.172,RT,200,64,191.548431,229,229,229,6.9833999,5.2347999,0.0666,5.9377999,8.7656002,246.787003,8.0522003,4.8965201,0.2215,3.0253999,12.3151999,246.628006,9.6201,3.4715199,0.0103,3.8317001,26.5184002,246.104996,12.7591,0.407229,4.5661001,5.7378998,52.3546982,244.121002,187.6533918,207.150825,195.5833333,179.3846154,188.5566667
4262672.39,527987.572,RT,200,64,134.8815,229,229,229,7.4603,8.2687998,0.2186,0.0527,4.4776001,211.531998,8.3097,7.3678398,0.6532,0.2463,5.9282999,211.727005,9.8191004,4.3964,2.7944,1.8605,14.5809002,212.397003,12.0691004,2.9742301,6.1022,1.0832,33.1217003,211.951996,126.8125316,168.7137435,176.6666667,179.3846154,168.9261667
4261505.1,526658.088,RT,190,74,189.398666,71,80,76,8.7993002,5.0643001,0.2115,0.067,3.7327001,202.013001,9.3295002,5.34937,1.1402,0.2519,6.3986001,202.100998,10.2957001,6.43958,0.2276,0.7356,21.0739002,202.968002,11.5698996,4.87146,5.2716999,1.8594,30.1802006,205.421005,135.3540464,167.6572065,136.375,179.3846154,168.1103333
4257578.79,524005.154,RT,80,74,200.129807,71,80,76,8.0319004,2.4805,0.0172,2.9123001,11.2117004,174.156006,8.7574997,3.71175,0.1639,1.885,12.7075996,174.145996,9.6760998,7.9429798,0.0702,0.8832,19.1900005,173.524994,11.7944002,8.4264803,0.1171,1.654,21.6000004,171.184006,159.2081336,134.7632763,136.375,167.0769231,120.7761667
4257314.2,523386.027,RT,175,137,144.446259,155,181,165,6.5207,9.4782,0.0211,2.9575,13.5802002,176.378006,7.9018998,6.9215398,0.192,1.8195,14.8577995,176.044998,9.4877996,5.9124498,0.004,1.049,21.7546005,176.104004,11.3621998,5.8255401,0.0466,0.8858,24.8659992,174.173996,140.2286602,133.1957854,136.375,121.95,150.8898333
4257195.14,522661.068,RT,192,81,200.699722,201,178,152,8.2375002,1.5101,0.0253,3.9215,18.4482994,176.044006,8.8973999,1.33487,0.2194,2.9517,18.6947002,176.091995,10.7486,1.07836,0.012,1.9888,27.0767994,176.167999,11.2413998,5.9612098,0.0086,1.3186001,27.6543007,175.817993,160.924785,136.4768297,195.5833333,167.0769231,171.5478333
4257105.01,522078.84,RT,200,81,196.821671,201,178,152,7.6145,4.6933999,0.0422,3.9500999,8.2517004,156.561997,8.2992001,5.70327,0.2318,1.6473,8.6345997,156.434006,9.8383999,5.8312502,0.168,1.7958,8.8664999,156.434006,11.5206003,3.62765,6.9415998,1.9581,8.6006002,156.141007,169.2620461,178.7822441,174.6,179.3846154,183.272
4259132.02,522839.419,RT,115,81,102.686729,201,178,152,6.8764,9.9526997,0.0443,4.9766998,24.3024006,225.414002,7.6829,8.5571003,0.1908,1.3317,29.0046005,225.744995,9.8577995,2.9489999,0.0067,3.4022,49.1982994,226.563995,11.8238001,3.68261,0.0117,2.7019,69.3504028,226.751999,143.8029238,153.159149,100.1875,167.0769231,128.7125
4259878.02,523099.061,RT,120,81,111.686935,201,178,152,8.6709995,9.2664003,0.2088,1.2016,16.5275993,209.891007,9.2376003,9.2597599,0.6387,0.1616,19.7768002,210.203003,10.0146999,8.9018097,0.1371,0.8951,30.4776001,209.828995,11.2427998,11.2035999,0.0041,0.9745,49.1495018,209.755997,118.2814932,122.6187713,136.375,167.0769231,132.8618333
4259688.96,524633.744,RT,190,79,200.498733,188,174,188,7.6675,2.2004001,0.0351,4.4200001,23.2987003,221.873001,8.5334997,2.0244,0.1638,2.9907999,30.5804005,221.925995,10.3654003,1.47566,0.0108,2.7607,45.3688011,221.727997,11.7687998,6.97786,0.0061,1.7793,57.2840004,221.061005,157.2047077,138.3363637,195.5833333,167.0769231,185.9333333
4259924.44,524535.848,RT,185,79,191.262299,188,174,188,8.0348997,4.493,0.0967,3.5214,17.3547993,220.320007,8.5908003,5.9391699,0.5573,0.5648,23.1086998,220.154007,10.2302999,7.22435,0.2473,0.6599,39.3235016,220.154007,11.3022003,12.3987999,0.2148,0.3407,50.4626007,217.306,151.6828247,115.6393183,176.6666667,121.95,170.0401667
4260371.95,528145.467,RT,200,76,200.290527,229,229,229,7.9703002,2.6406,0.0489,4.9858999,8.9207001,208.615006,8.8441,2.72614,0.5946,3.9821999,17.3995991,208.520996,10.7096004,2.6516099,0.0895,2.9902999,35.6817017,208.505997,12.2510996,2.8691599,4.1086001,1.9881999,42.7616005,207.636993,183.5485845,167.5601893,195.5833333,179.3846154,191.8228333
4256949.99,526144.95,RT,145,137,188.382477,155,181,165,7.2707,6.8105001,0.1088,3.8652999,15.0790005,211.138001,8.1985998,5.1560702,0.2493,1.9417,18.2879009,211.335007,9.9588003,7.9166498,0.1502,1.676,28.0596008,210.432999,11.2707996,5.0071902,0.0091,1.5567,38.2258987,211.75,153.3557783,140.5125917,136.375,167.0769231,149.0111667
