,FID,Northing,Easting,LS_Pos,SMU,Measured,SSURGO_RV,ArcSIE_SSU,SS_Manual,SDM,OSD,twi_5m,slope_5m,mrvbf_5m,mrrtf_5m,aachn_5m,twi_10m,slope_10m,mrvbf_10m,mrrtf_10m,aachn_10m,elev10m,elev_5m,twi_30m,slope_30m,mrvbf_30m,mrrtf_30m,aachn_30m,elev_30m,twi_90m,slope_90m,mrvbf_90m,mrrtf_90m,aachn_90m,elev_90m,Pred_Depth_5m_MLR,Pred_Depth_90m_MLR,Pred_Depth_5m_DT,Pred_Depth_90m_DT,Pred_Depth_5m_RF
11,10,4259802.191,530559.03,FP,HcgAH,130,201,168.782043,200,200,200,17.3453999,1.5101,3.9834001,0.0107,0,17.0447006,1.21415,2.9888,0.0084,0,172.9089966,172.947998,17.1261005,0.858332,2.9356999,0.0094,0,173.1170044,14.3998003,5.0764198,2.7865,0.0037,0,173.8540039,148.4414119,139.7564266,136.375,140.5384615,133.2788333
12,11,4259055.33,531349.884,FP,HcgAH,125,201,170.51152,200,200,200,17.6257,0.75,2.9819,0.0125,0,16.8358994,0.638607,2.0044999,0.0095,0,175.7610016,175.7429962,17.177,2.5251901,1.9764,0.0053,0,175.6849976,16.2208996,13.0188999,0.9201,0.0024,0,176.5019989,150.1864267,114.6826542,136.375,140.5384615,130.4195
13,12,4262114.987,529899.344,FP,GacAW/AcmF,150,201,168.38327,200,200,200,16.3778992,2.1203001,3.9677999,0.0202,0,15.3210001,2.1605101,2.9888999,0.026,0,186.3329926,186.253006,15.6357002,1.39957,2.5251999,0.0034,0,186.3329926,15.3699999,8.9812899,0.8986,5.00E-04,0,186.0410004,147.1528131,122.9359499,136.375,140.5384615,141.1598333
14,13,4261521.452,529231.116,FP,GacAW,140,201,169.853821,200,200,200,17.8693008,0.98,3.6326001,0.0113,0,15.4253998,0.771031,2.5136001,0.0071,0,170.5870056,170.5509949,17.0028992,4.3954902,1.8219,0.0028,0,170.6889954,12.8474998,9.5437698,0.9019,0.0019,0,174.0379944,149.6516768,121.7973907,136.375,140.5384615,138.2016667
15,14,4262047.974,528551.136,FP,GacAW,120,201,174.829453,200,200,200,17.3269997,0.02,3.9705,0.0554,0,15.4323997,3.48068,2.4307001,0.0488,0,172.2510071,172.2579956,15.9273996,3.3449399,1.9342999,0.0302,0,172.5440063,12.8863001,6.2280002,0.9838,0.0047,0,173.8849945,152.284697,129.0715644,136.375,140.5384615,133.7266667
16,15,4260581.465,527693.707,FP,St,160,201,168.583603,200,200,200,17.8747005,1.4601001,3.9853001,0.0258,0,15.9390001,0.971973,2.9874001,0.034,0,158.1329956,158.1660004,17.4899998,0.720565,4.3375001,0.0076,0,158.272995,18.3806,0.75745,6.9383998,0.0055,0,158.2769928,148.7098899,167.8553426,136.375,179.3846154,155.6306667
17,16,4261195.536,527174.027,FP,Bu,130,137,169.276688,200,200,200,14.9230003,2.7507,3.9949999,0.0682,0,12.9806995,2.2953899,2.9790001,0.1037,0,169.0469971,169.0910034,14.4394999,4.5321202,2.9154999,0.0144,0,169.0059967,15.7656002,2.55195,0.9803,0.0021,0,168.6690063,146.2132857,136.6523505,136.375,140.5384615,135.7858333
18,17,4258081.497,524264.446,FP,St,200,201,196.577698,200,200,200,11.2882996,0.87,0.052,2.8336999,0.1553,12.9624996,0.88003,0.3777,2.8227999,0.1716,150.1159973,150.095993,15.191,2.4038799,2.7932999,1.9252,0.315,150.2100067,16.1779003,2.9962699,6.9642,0.2923,0.3542,150.0099945,178.6226747,165.8104109,200,179.3846154,193.9516667
19,18,4257298.158,522076.194,FP,Cu,200,201,175.207245,200,200,200,20.2029991,0.49,2.9862001,0.565,0.035,13.1175003,0.647551,2.8492999,0.0265,0.0473,147.6620026,147.6600037,12.8348999,4.7400498,3.7993,0.0047,0,147.6069946,14.3746996,2.75828,6.973,0.1459,0.1772,147.8269958,156.3924381,165.080039,200,179.3846154,192.5211667
20,19,4258923.413,523702.495,FP,St,125,201,158.210037,200,200,200,12.7742996,4.9840999,3.5644,0.1118,0,13.1983004,4.3983498,2.6156001,0.4155,0,155.1529999,155.2519989,13.9924002,4.4514799,2.7851,0.1769,0.1079,155.7070007,14.8178997,4.2218499,5.8834,0.0157,1.3368,155.7070007,141.5874437,155.901441,136.375,179.3846154,149.6915
21,20,4258813.53,525329.056,FP,St,200,201,180.042206,200,200,200,18.5338993,0.82,3.9365001,0.033,0.0014,14.3523998,0.511128,2.9583001,0.147,0,151.1820068,151.201004,15.9772997,0.252113,4.4510999,0.2702,0,151.1430054,16.7029991,0.847299,6.9833999,0.0155,0,151.1459961,150.2356267,167.9628196,200,179.3846154,186.8075
22,21,4258208.9,525304.009,FP,PeB,200,74,193.936752,119,112,126,7.4418998,3.4312999,3.8685,2.9461999,1.1422,8.1928997,3.7242801,3.9732001,1.961,1.1022,152.4290009,152.4579926,12.3852997,3.28232,2.9863,1.8571,1.4766999,152.822998,15.2880001,1.27301,6.7217999,0.1821,1.3769,152.822998,172.4804398,167.3136635,200,179.3846154,187.8603333
23,22,4258339.734,526434.575,FP,Cu,200,201,182.809631,200,200,200,20.4867001,0.02,5.9366002,0.1625,0,15.6982002,0.218604,4.8235002,2.5346,0.0568,153.1759949,153.1640015,16.2619991,0.0637948,7.8143001,1.8513,0.1716,153.2180023,15.7896996,1.2890199,6.9805002,0.1761,0.0278,153.1549988,153.3833895,168.420726,200,179.3846154,189.0731667
