lid5m_slop,lid5m_cu,sagawi25m
0.565198,0.0015145,6.4784002
0.641375,0.0022785,6.3951998
0.806812,0.0052585,6.5036998
0.8744,0.0058958,6.6838999
0.881185,0.003284,6.349
0.989869,0.0043813,5.9401002
1.07842,0.0112505,6.0707998
1.04605,0.0088626,7.5976
0.859611,-0.010584,8.8332996
0.962614,-0.0077265,8.2291002
0.960936,0.005244,6.7073998
0.881984,0.0031479,6.1073999
0.872959,-0.0029388,6.6128998
0.962447,-0.004164,7.2719002
1.06619,-0.0007894,6.8676
1.2041399,0.000688,6.3467999
1.3385,0.0015053,6.1623998
1.37707,0.0021027,6.0353999
1.3641599,0.0013147,5.9443002
1.2904299,0.0000148,5.8892002
1.1302299,-0.0012855,6.0448999
0.938299,-0.0020294,6.4839001
0.833187,-0.001096,6.9397998
0.772287,-0.0023707,6.9582
0.393134,-0.010936,7.5282001
0.481871,-0.0110079,7.3543
0.536689,-0.0100626,7.4369998
0.576432,-0.0114146,7.5109
0.567103,-0.0106094,7.2055001
0.579326,-0.0011494,7.3938999
0.627989,-0.0020147,7.5447998
0.715353,-0.0012186,7.3299999
0.718053,0.000784,7.1652999
0.661965,0.0000826,7.1571999
0.627309,-0.0024667,7.3769002
0.622705,-0.0047961,7.6248999
0.615729,-0.0053773,7.2631001
0.60993,-0.0041132,6.8681998
0.644626,-0.0025507,6.6792998
0.752854,-0.0003546,6.5181999
0.835394,0.0056947,6.5278001
0.736148,0.0076078,6.7389998
0.730145,0.0043946,6.4737
0.841217,0.0067,5.9967999
0.844272,0.0155814,6.928
0.841386,0.0129026,8.1350002
0.694295,-0.0100653,8.9247999
0.948753,-0.0079747,8.6223001
1.00146,0.0063427,6.6847
0.933529,0.0043132,5.9431
0.924914,-0.0030132,6.2168999
1.01838,-0.0046745,7.0141001
1.13318,-0.0000306,7.2305002
1.22474,0.0032295,6.5362
1.24411,0.0059706,6.2575002
1.20504,0.0078655,6.1255002
1.20669,0.0072719,5.9791002
1.2341599,0.0063733,5.8379998
1.18322,0.0039201,5.8888998
1.01491,-0.0001947,6.2086
0.850796,-0.00104,6.7181001
0.743147,-0.0040773,7.0258999
0.439584,-0.0171494,8.6366997
0.610357,-0.0181493,8.0796003
0.628749,-0.0127427,7.8734999
0.65704,-0.0118253,7.2319002
0.655878,-0.0140413,6.8859
0.628523,-0.004796,7.2802
0.594592,-0.0032442,7.3035002
0.570003,-0.0017721,7.2686
0.590954,-0.0018294,7.1708999
0.652158,-0.0025372,7.4762001
0.748494,-0.0007852,7.5037999
0.741377,0.0024627,7.3376002
0.698113,0.0020907,7.1870999
0.687172,-0.000288,7.2121
0.684306,-0.0024521,7.4713001
0.668709,-0.0035639,7.4833999
0.6582,-0.0038922,6.9180002
0.683555,-0.0038948,6.6311002
0.792325,-0.0019653,6.5576
0.827556,0.005076,6.5632
0.586562,0.0071442,6.7849002
0.619545,0.0029054,6.6357999
0.722426,0.0048533,6.1851001
0.628197,0.0130679,7.3132
0.707596,0.009784,8.3041
0.644694,-0.0126092,8.9426003
1.00994,-0.0100587,8.5502996
0.978257,0.0058373,7.2547998
0.916491,0.0065733,6.6712999
0.973514,-0.0006585,6.0633998
1.10106,-0.0026705,6.2302999
1.17598,0.0022987,7.2835002
1.11522,0.004476,6.9919
1.0062701,0.0067774,6.3885002
0.948053,0.0094614,6.2276001
0.960841,0.00994,6.0598001
1.0244,0.0108601,5.8751001
1.06002,0.0093948,5.8716998
1.01384,0.00386,6.0939999
0.856016,0.0001854,6.4551001
0.710206,-0.00488,6.993
0.77757,-0.022252,8.3681002
0.838205,-0.0201173,7.9832001
0.916395,-0.0096547,7.3375001
0.928045,-0.0160681,6.8751001
0.89084,-0.0168374,6.6366
0.829725,-0.0055692,6.4949999
0.735866,-0.0040413,6.6507001
0.6457,-0.0044573,7.1176
0.620337,-0.0036334,7.2168999
0.631462,-0.0024053,7.2905002
0.650277,-0.0026013,7.1533999
0.692237,-0.0027561,7.1429
0.771659,0.00022,7.4724998
0.740116,0.0045334,7.5637002
0.671156,0.0041881,7.3509998
0.656087,0.0020175,7.1689
0.666986,0.0004065,7.3134999
0.682265,-0.0008773,7.5074
0.693553,-0.0027159,7.2115998
0.690282,-0.0051746,6.5135002
0.743288,-0.0055093,6.3449998
0.765304,0.0005759,6.3568001
0.554094,0.0030813,6.6245999
0.609897,-0.000156,6.9407001
0.669656,0.0020468,6.4481001
0.554343,0.0093175,7.4001002
0.654601,0.0070026,8.2496004
0.798664,-0.0110453,8.6938
0.951594,-0.0094357,8.7582998
0.88495,0.0041386,8.4062004
0.812645,0.0075347,7.8681002
0.936714,0.0042441,7.1181998
1.15681,0.00442,5.8794999
1.1331199,0.0081213,6.5370998
0.867712,0.0058067,7.4576998
0.733301,0.0049654,6.7326999
0.715472,0.0071562,6.3139
0.731058,0.0083321,6.1438999
0.759909,0.0114786,5.9625001
0.784785,0.0125294,5.9254999
0.887198,0.0077121,6.0565
0.840131,0.0018906,6.3722
0.707801,-0.0053508,6.9215002
0.479574,-0.026376,8.3149996
1.0307699,-0.0282414,7.8210001
1.05686,-0.0113054,7.3158998
1.0672801,-0.0106414,6.9724002
1.04699,-0.0158307,6.5163999
1.04673,-0.0065613,6.4565001
1.0707999,-0.0060867,6.7087998
1.0407799,-0.0045067,6.5021
0.932416,-0.0031986,6.3257999
0.786158,-0.003548,6.5218
0.683314,-0.0049601,6.9197001
0.673034,-0.0041919,7.1234002
0.668148,-0.0028308,7.1673002
0.653609,-0.0030561,7.3183999
0.696177,-0.0026866,6.9762998
0.761209,0.0009533,7.0651002
0.671672,0.0052505,7.5356998
0.5298,0.0039932,7.6311998
0.511075,0.0017386,7.2775998
0.584789,0.0013254,7.2242999
0.68426,0.0012534,7.4506001
0.731259,-0.0010292,7.4435
0.743742,-0.0051653,6.7873998
0.801254,-0.0077067,6.0235
0.845682,-0.0045787,5.8309999
0.739377,-0.0017639,5.9215002
0.684256,-0.0027547,6.6322999
0.592746,-0.0029186,6.8614001
0.479411,0.0027907,7.3355999
0.521389,0.0043532,7.9061999
0.878558,-0.007156,8.4095001
0.799524,-0.0080773,8.8549995
0.697634,-0.0009201,8.7756004
