ca794,Count UCU,ned30m_8VICN,ned30m_8VICMIN,ned30m_8VICMAX,ned30m_8VICMEAN,ned30m_8VICSTDDEV,ned30m_8VICSUM,ned30m_8VIC_slope5N,ned30m_8VIC_slope5MIN,ned30m_8VIC_slope5MAX,ned30m_8VIC_slope5MEAN,ned30m_8VIC_slope5STDDEV,ned30m_8VIC_slope5SUM
2409064,44931,44931,319.764496,686.041260,448.491271,98.955923,20151161.294678,44931,0.281183,49.367119,3.122593,1.838252,140301.242936
2420575,2861,2861,1055.763428,1214.157104,1105.149030,36.536690,3161831.374023,2861,0.575456,37.342525,6.264814,2.991815,17923.632776
2420576,1328,1328,1020.656616,1156.671875,1084.588818,33.013653,1440333.950928,1328,0.561113,40.037899,5.750508,5.300267,7636.675057
2420578,5677,5677,1037.974243,1235.353882,1114.234246,38.212212,6325507.814941,5677,0.283702,43.596615,9.075420,5.105962,51521.161213
2420582,4400,4400,874.792969,1155.607910,983.000148,62.388415,4325200.653076,4400,0.859234,36.247829,12.128042,4.230929,53363.384590
2435423,69636,69636,1055.230225,1772.170898,1438.419025,131.486943,100165747.226074,69636,0.126693,88.928947,25.152864,13.197874,1751544.861517
2435425,11641,11641,1085.750732,1489.849609,1348.433256,81.787581,15697111.533936,11641,0.218016,69.086517,22.795246,12.750151,265359.460198
2438044,44380,44380,293.791168,848.988464,461.054340,148.593772,20461591.597809,44380,0.163197,32.186092,3.872409,1.691846,171857.516743
2438047,64858,64858,328.811462,814.616943,503.328855,90.939608,32644902.881409,64858,0.291800,51.414314,4.803553,1.884586,311548.857006
2438050,212383,212383,595.032532,1469.806763,1119.084544,126.738276,237674532.790344,212383,0.055998,96.396111,22.684398,13.847370,4817780.465455
2440316,65725,65725,523.289795,1274.218506,851.289438,146.659376,55950998.318542,65725,0.103662,86.679932,25.279834,13.252750,1661517.065957
2440323,89321,89321,764.977234,1691.565552,1251.428118,147.310167,111778810.952148,89321,0.096405,93.688904,41.520675,16.805000,3708668.170582
2440324,19635,19635,489.773895,1053.468018,724.469750,105.821795,14224963.549500,19635,0.745378,88.028526,38.041058,14.949047,746936.178475
2440325,12694,12694,1042.957642,1667.752197,1387.952276,113.337508,17618666.197510,12694,0.086635,70.324455,32.860436,13.254236,417130.380627
2440326,39791,39791,632.248474,1377.943726,971.104661,134.409289,38641225.581726,39791,0.517935,93.171181,38.400913,16.641626,1528010.738964
2450605,10925,10925,312.751465,390.520996,343.339198,14.447341,3750980.741119,10925,0.039005,10.226400,1.723655,0.810344,18830.930015
2450606,20360,20360,340.402985,491.614105,386.689700,30.815578,7873002.297913,20360,0.063025,5.675786,1.679336,0.446116,34191.271888
2450607,14755,14755,499.342926,1140.616699,723.475999,169.162083,10674888.363739,14755,1.331989,64.490150,10.805847,6.311687,159440.272155
2450608,6354,6354,537.049316,915.701721,682.908089,107.952994,4339197.997009,6354,0.184007,50.570389,7.195982,6.069292,45723.271009
2450610,17799,17799,534.477722,912.072998,633.360142,72.745170,11273177.170654,17799,0.343481,61.935787,7.206342,3.642315,128265.677720
2450612,67814,67814,424.254944,1173.583984,800.938881,120.075282,54314869.246155,67814,0.119706,85.086678,25.765167,16.933759,1747239.041551
2450615,125219,125219,338.208862,1213.387817,679.215833,177.744901,85050727.414978,125219,0.172015,100.919861,32.646254,15.989134,4087931.235601
2450653,18139,18139,324.066406,379.801910,352.047052,11.321741,6385781.471161,18139,0.246915,1.845733,0.577688,0.161200,10478.691686
2454823,5671,5671,317.129791,830.023987,563.090460,87.435453,3193285.997589,5671,0.634877,48.710487,7.816372,6.268350,44326.644189
2454824,12768,12768,378.274689,838.173340,573.504854,81.894594,7322509.972931,12768,0.174824,48.452709,7.972915,5.390334,101798.172552
2480919,18710,18710,1206.737183,1699.098877,1484.101446,94.254238,27767538.054932,18710,0.197329,81.545219,21.264265,12.594967,397854.403835
2480920,10615,10615,1058.508057,1657.324829,1430.791061,112.357665,15187847.117798,10615,0.094536,106.793381,30.156122,14.851486,320107.237590
2480924,79065,79065,847.965454,1659.227661,1220.334021,136.529099,96485709.397217,79065,0.236289,83.148849,26.016849,13.440511,2057022.161006
2480925,16270,16270,826.653442,1068.576904,903.215273,44.881062,14695312.497986,16270,0.296227,40.178165,6.912370,3.511973,112464.261094
2480976,5159,5159,1200.422241,1477.035889,1290.878588,55.227525,6659642.636963,5159,0.842145,33.346474,10.046564,3.326418,51830.223736
2480977,204460,204460,503.120361,1687.588257,942.507742,206.066137,192705132.947296,204460,0.195744,94.467682,38.522444,16.739094,7876298.916493
2480978,1905,1905,487.755280,731.462646,570.060776,66.860023,1085965.779175,1905,0.708057,43.765049,10.628635,5.619988,20247.549430
2480979,3589,3589,1405.222534,1610.291138,1551.800034,36.741326,5569410.320801,3589,0.244128,21.214247,7.021726,2.576518,25200.973140
2484374,4714,4714,297.344666,470.204010,379.589134,43.120123,1789383.176392,4714,0.282757,36.539211,11.360576,5.300766,53553.755861
2484376,53486,53486,295.654602,952.874084,491.972367,119.411959,26313634.029449,53486,0.017233,54.325481,5.724665,4.201564,306189.442029
2484383,8070,8070,339.945801,530.093750,400.860542,32.404963,3234944.570313,8070,0.394029,40.898552,5.112534,3.261487,41258.149103
2484420,14096,14096,358.255127,463.538452,392.684274,18.719698,5535277.532532,14096,0.086136,7.809462,1.236217,0.454216,17425.708664
2484421,3786,3786,341.206665,504.791412,393.236898,32.661209,1488794.896088,3786,0.443451,36.666157,5.197286,3.245776,19676.923045
2505181,17163,17163,666.645203,1039.421387,817.494800,87.552245,14030663.244812,17163,0.046960,29.492613,4.074687,2.506147,69933.851476
2505182,24478,24478,464.556152,789.136719,600.814243,77.203020,14706731.037964,24478,0.194510,15.699979,2.555148,0.766951,62544.911853
2505184,14764,14764,774.081116,1046.943726,890.347949,43.084775,13145097.125610,14764,0.236566,38.783657,4.473941,2.420487,66053.259572
2505186,6583,6583,625.162354,930.940491,815.222970,67.818846,5366612.810425,6583,0.050729,35.823132,3.358814,2.948892,22111.073537
2505187,9726,9726,895.571350,1092.227173,983.310702,38.063461,9563679.886780,9726,0.698096,11.044229,3.702245,0.643385,36008.037408
2505188,5316,5316,727.607300,1144.649902,901.614929,81.787828,4792984.961365,5316,0.168296,78.445282,32.768148,15.278183,174195.474939
2505190,9696,9696,959.311523,1300.491821,1145.793035,65.902228,11109609.268860,9696,0.449498,41.887375,6.245876,2.963894,60560.012354
2505191,12871,12871,1202.778687,1546.223389,1412.965848,81.459307,18186283.423462,12871,0.066505,76.561501,11.379840,7.667972,146469.926035
2505192,9158,9158,1390.375732,1575.553833,1490.873020,37.310207,13653415.114746,9158,0.129124,64.278633,8.560432,5.564280,78396.437849
2505193,3098,3098,546.824829,992.607300,727.266877,122.413231,2253072.786438,3098,1.297883,65.329361,9.987198,8.619025,30940.338657
2505194,29908,29908,778.458801,1320.552856,1013.957682,83.342464,30325446.343872,29908,0.093136,81.879448,29.746561,16.353686,889660.137704
2505195,5320,5320,979.041321,1217.214966,1108.578675,52.017177,5897638.550232,5320,0.408562,23.811520,6.167207,2.596320,32809.539891
2505196,66567,66567,537.191345,1387.327515,823.736799,140.500529,54833687.520691,66567,0.191438,92.843361,34.682969,15.766552,2308741.212302
2505198,14552,14552,162.247406,551.096313,307.509801,83.466831,4474882.617477,14552,0.381697,41.779602,5.155278,2.802599,75019.608345
2505199,9194,9194,477.003479,713.408569,538.475603,62.124919,4950744.692474,9194,0.270637,6.691949,2.476777,0.844937,22771.485762
2505200,3423,3423,903.102051,955.338440,932.921135,11.174728,3193389.043823,3423,0.232173,4.327124,2.159687,0.594474,7392.609667
2505201,5638,5638,726.014404,1159.667725,882.991679,82.355622,4978307.086121,5638,0.241765,34.738976,11.220001,5.981168,63258.364060
2505202,17026,17026,792.083618,1160.952148,992.199104,80.109397,16893181.942200,17026,0.019674,41.617954,3.331913,2.342240,56729.146433
2505203,2234,2234,939.387024,1125.602783,1001.884677,42.922447,2238210.369019,2234,0.197359,31.905621,9.398109,5.109744,20995.374840
2505204,35522,35522,737.971558,1170.327881,955.309999,102.492309,33934521.775024,35522,0.058359,38.221283,4.995192,3.412860,177439.204104
2505205,3059,3059,758.383850,1304.427979,1045.135424,127.988452,3197069.262634,3059,0.597343,75.005630,24.520614,12.799098,75008.559199
2505206,1032,1032,936.052795,1037.203857,964.304815,15.177054,995162.568787,1032,0.463602,29.455143,5.985945,3.486200,6177.494754
2505207,11463,11463,883.380188,1186.313599,1018.974350,50.502151,11680502.975098,11463,0.059591,36.294258,9.635710,5.301213,110454.138994
2505208,3376,3376,853.343323,1016.228699,942.789372,26.615772,3182856.920166,3376,0.178068,50.106987,16.779718,10.474420,56648.327648
2505209,5416,5416,983.072205,1207.796631,1072.021493,38.749902,5806068.406555,5416,0.396532,19.827461,5.793544,1.931255,31377.836355
2505210,7349,7349,882.435059,1232.915894,1029.525359,74.128021,7565981.862305,7349,0.009359,44.764687,6.762734,4.313335,49699.335130
2508181,14931,14931,800.195435,1011.997253,904.494248,41.943273,13505003.619141,14931,0.122213,25.069679,4.973235,2.180815,74255.371113
2508182,7206,7206,871.735291,1147.232178,1004.803729,54.972335,7240615.673706,7206,0.100538,63.146675,16.602107,10.976566,119634.780791
2508183,45642,45642,840.888000,1625.869263,1104.751301,163.559532,50423058.866333,45642,0.343184,82.147194,27.349536,15.281092,1248287.542439
2508184,14240,14240,855.635925,1533.173462,1156.676840,139.604652,16471078.208374,14240,0.409786,82.670471,26.683546,15.615408,379973.696905
2508185,6864,6864,536.957336,961.492615,649.401949,80.273751,4457494.976807,6864,1.930937,57.360806,10.237337,6.173880,70269.077793
2508187,1067,1067,378.840942,669.713806,525.954321,90.632251,561193.260498,1067,0.702412,29.543571,11.062885,5.314171,11804.098393
2508188,789,789,560.470947,804.857239,629.407960,44.629671,496602.880493,789,2.212406,27.005589,9.201700,3.290757,7260.141054
2508189,287,287,1203.145508,1240.647949,1218.109680,8.460906,349597.478271,287,1.807953,11.185529,6.229221,1.451802,1787.786547
2508201,41768,41768,604.049316,951.940186,729.738021,63.249783,30479697.643188,41768,0.192118,39.853069,4.310243,2.090032,180030.214158
2517391,2306,2306,174.775726,285.069489,219.335819,24.318269,505788.397781,2306,0.626722,10.044831,4.213491,1.604266,9716.310479
2517392,3237,3237,185.416855,431.541962,319.678490,64.432587,1034799.273285,3237,1.076145,38.711208,14.315883,7.396526,46340.512592
2517393,116,116,260.704590,278.743439,269.118547,4.718677,31217.751404,116,1.545743,3.679149,2.526937,0.512705,293.124745
2517394,12040,12040,293.263763,474.786652,369.464841,22.660874,4448356.682037,12040,0.376896,41.284119,5.063754,4.825220,60967.601547
2517396,3111,3111,921.124939,1068.078003,971.623929,27.724986,3022722.043762,3111,0.055386,39.773151,8.845151,5.436926,27517.264765
2517397,471,471,536.655457,615.692322,565.908036,18.884836,266542.684875,471,4.483356,27.878368,9.225005,3.401720,4344.977338
2517398,4127,4127,895.361328,1004.858704,933.385510,21.767913,3852082.000732,4127,0.368039,37.729523,6.289158,4.385978,25955.355754
